código,grupo,condición,evaluación,ms,µV,electrodo
DSO8M,2,Alegría,PRE,230,-24.38,T6
DSO8M,2,Enojo,PRE,230,-15.5,T6
DSO8M,2,Identidad,PRE,234,-23.05,T6
DSO8M,2,Sexo,PRE,232,-22.38,T6
DSO8M,2,Tristeza,PRE,248,-17.77,T6
EDC10M,1,Alegría,POST,576,2.46,P3
EDC10M,1,Enojo,POST,530,15.56,P3
EDC10M,1,Identidad,POST,522,12.04,P3
EDC10M,1,Sexo,POST,532,6.07,P3
EDC10M,1,Tristeza,POST,550,3.04,P3
EDC10M,1,Alegría,PRE,586,1.6,P3
EDC10M,1,Enojo,PRE,572,11.32,P3
EDC10M,1,Identidad,PRE,558,16.09,P3
EDC10M,1,Sexo,PRE,510,5.15,P3
EDC10M,1,Tristeza,PRE,562,19.93,P3
CLB8M,1,Alegría,PRE,216,-4.1,T5
JOB10M,2,Tristeza,PRE,242,-4.1064,T5
SFN10M,2,Alegría,PRE,234,-4.18,T5
MZH9M,2,Identidad,PRE,244,-4.24,T5
JDC10M,2,Tristeza,PRE,228,-4.26,T5
JGB9M,2,Identidad,PRE,252,-4.29,T5
ALJ10M,1,Enojo,POST,226,-4.3,T5
JOB10M,2,Sexo,PRE,228,-4.31,T5
MBO9M,2,Alegría,PRE,232,-4.39,T5
SGM8M,2,Alegría,PRE,206,-4.42,T5
EDC10M,1,Alegría,POST,214,-4.48,T6
EDC10M,1,Enojo,POST,210,-5.81,T6
EDC10M,1,Identidad,POST,228,-11.57,T6
EDC10M,1,Sexo,POST,222,-16.66,T6
EDC10M,1,Tristeza,POST,210,-7.11,T6
EDC10M,1,Alegría,PRE,214,1.41,T6
EDC10M,1,Enojo,PRE,222,-1.98,T6
EDC10M,1,Identidad,PRE,226,-12.66,T6
EDC10M,1,Sexo,PRE,220,-14.74,T6
EDC10M,1,Tristeza,PRE,216,-12.7,T6
EGV8M,1,Alegría,POST,552,16.73,P3
EGV8M,1,Enojo,POST,558,16.56,P3
EGV8M,1,Identidad,POST,528,18.91,P3
EGV8M,1,Sexo,POST,592,16.71,P3
EGV8M,1,Tristeza,POST,564,23.21,P3
EGV8M,1,Alegría,PRE,576,10.34,P3
EGV8M,1,Enojo,PRE,564,23.21,P3
EGV8M,1,Identidad,PRE,502,23.41,P3
EGV8M,1,Sexo,PRE,614,12.61,P3
EGV8M,1,Tristeza,PRE,578,4.56,P3
MBO9M,2,Tristeza,PRE,236,-4.44,T5
JGB9M,2,Sexo,PRE,240,-4.47106667,T5
DRL8M,1,Identidad,POST,256,-4.49,T5
EHO8M,1,Sexo,POST,240,-4.56,T5
EHO8M,1,Tristeza,PRE,240,-4.68,T5
AMA8M,2,Sexo,POST,238,-4.69,T5
SPM8M,1,Identidad,POST,238,-4.72,T5
JOB10M,2,Alegría,POST,224,-4.77,T5
HMA8M,1,Tristeza,POST,224,-4.8,T5
SFN10M,2,Identidad,POST,244,-5,T5
EGV8M,1,Alegría,POST,262,-10.62,T6
EGV8M,1,Enojo,POST,260,-13.33,T6
EGV8M,1,Identidad,POST,254,-14.19,T6
EGV8M,1,Sexo,POST,242,-11.9,T6
EGV8M,1,Tristeza,POST,234,-15.4,T6
EGV8M,1,Alegría,PRE,232,-16.66,T6
EGV8M,1,Enojo,PRE,246,-9.83,T6
EGV8M,1,Identidad,PRE,244,-11.21,T6
EGV8M,1,Sexo,PRE,242,-14.83,T6
EGV8M,1,Tristeza,PRE,258,-16.64,T6
EHO8M,1,Alegría,POST,562,21.98,P3
EHO8M,1,Enojo,POST,566,24.97,P3
EHO8M,1,Identidad,POST,586,27.7,P3
EHO8M,1,Sexo,POST,516,12.2,P3
EHO8M,1,Tristeza,POST,590,18.97,P3
EHO8M,1,Alegría,PRE,570,27.45,P3
EHO8M,1,Enojo,PRE,586,34.48,P3
EHO8M,1,Identidad,PRE,582,26.21,P3
EHO8M,1,Sexo,PRE,560,28.58,P3
EHO8M,1,Tristeza,PRE,582,37.87,P3
NRG10M,1,Alegría,POST,220,-5.02,T5
SGM8M,2,Identidad,POST,222,-5.02,T5
MRA8M,2,Sexo,POST,226,-5.03,T5
MZH9M,2,Sexo,PRE,246,-5.06,T5
ADA8M,2,Alegría,POST,230,-5.12,T5
MZH9M,2,Enojo,POST,224,-5.13,T5
JSR9M,2,Tristeza,PRE,238,-5.1984,T5
CLB8M,1,Alegría,POST,218,-5.21,T5
MBO9M,2,Alegría,POST,238,-5.25,T5
ALJ10M,1,Tristeza,PRE,216,-5.27,T5
EHO8M,1,Alegría,POST,236,1.76,T6
EHO8M,1,Enojo,POST,250,-3.15,T6
EHO8M,1,Identidad,POST,230,-10.29,T6
EHO8M,1,Sexo,POST,238,-9.01,T6
EHO8M,1,Tristeza,POST,240,-7.1,T6
EHO8M,1,Alegría,PRE,242,-7.31,T6
EHO8M,1,Enojo,PRE,228,-8.39,T6
EHO8M,1,Identidad,PRE,254,-8.19,T6
EHO8M,1,Sexo,PRE,238,-8.51,T6
EHO8M,1,Tristeza,PRE,232,-8.1,T6
HMA8M,1,Alegría,POST,500,20.44,P3
HMA8M,1,Enojo,POST,504,21.54,P3
HMA8M,1,Identidad,POST,512,11.75,P3
HMA8M,1,Sexo,POST,516,21.44,P3
HMA8M,1,Tristeza,POST,590,22.11,P3
HMA8M,1,Alegría,PRE,518,18.68,P3
HMA8M,1,Enojo,PRE,508,12.58,P3
HMA8M,1,Identidad,PRE,480,20.35,P3
HMA8M,1,Sexo,PRE,496,20.85,P3
HMA8M,1,Tristeza,PRE,590,22.11,P3
MSR9M,1,Tristeza,POST,226,-5.28,T5
SPM8M,1,Sexo,POST,226,-5.39,T5
MZH9M,2,Enojo,PRE,232,-5.54,T5
HMA8M,1,Alegría,PRE,222,-5.59,T5
JSR9M,2,Tristeza,POST,230,-5.61,T5
SGM8M,2,Sexo,POST,228,-5.61,T5
CLB8M,1,Identidad,PRE,228,-5.62,T5
MBO9M,2,Enojo,POST,232,-5.6352,T5
SGM8M,2,Alegría,POST,204,-5.76,T5
MCJ8M,1,Sexo,PRE,242,-5.83,T5
HMA8M,1,Alegría,POST,236,-5.01,T6
HMA8M,1,Enojo,POST,230,-2.39,T6
HMA8M,1,Identidad,POST,212,3.33,T6
HMA8M,1,Sexo,POST,240,-1.6,T6
HMA8M,1,Tristeza,POST,246,-4.51,T6
HMA8M,1,Alegría,PRE,234,-11.26,T6
HMA8M,1,Enojo,PRE,250,-0.04,T6
HMA8M,1,Identidad,PRE,232,-3.12,T6
HMA8M,1,Sexo,PRE,244,-3.85,T6
HMA8M,1,Tristeza,PRE,246,-4.51,T6
JDC10M,2,Alegría,POST,526,12.47,P3
JDC10M,2,Enojo,POST,540,7.75,P3
JDC10M,2,Identidad,POST,510,21.86,P3
JDC10M,2,Sexo,POST,544,15.49,P3
JDC10M,2,Tristeza,POST,548,11.68,P3
JDC10M,2,Alegría,PRE,528,12.19,P3
JDC10M,2,Enojo,PRE,522,16.85,P3
JDC10M,2,Identidad,PRE,530,29.79,P3
JDC10M,2,Sexo,PRE,548,13.57,P3
JDC10M,2,Tristeza,PRE,532,14.19,P3
NRG10M,1,Enojo,PRE,218,-5.83,T5
CVO8M,2,Enojo,PRE,212,-5.9,T5
ALJ10M,1,Identidad,POST,252,-5.94,T5
MRA8M,2,Alegría,POST,228,-5.99,T5
TOM8M,1,Enojo,PRE,226,-6.07,T5
JSR9M,2,Identidad,PRE,234,-6.15,T5
TOM8M,1,Sexo,PRE,246,-6.17,T5
SPM8M,1,Alegría,PRE,232,-6.21,T5
SGM8M,2,Tristeza,POST,214,-6.26,T5
SGM8M,2,Identidad,PRE,216,-6.29,T5
JDC10M,2,Alegría,POST,208,-6.65,T6
JDC10M,2,Enojo,POST,226,-5.47,T6
JDC10M,2,Identidad,POST,218,-1.39,T6
JDC10M,2,Sexo,POST,212,-7.85,T6
JDC10M,2,Tristeza,POST,218,-6.3,T6
JDC10M,2,Alegría,PRE,226,-12.41,T6
JDC10M,2,Enojo,PRE,224,-10.73,T6
JDC10M,2,Identidad,PRE,228,-9.3,T6
JDC10M,2,Sexo,PRE,224,-3.65,T6
JDC10M,2,Tristeza,PRE,226,-6.41,T6
JGB9M,2,Alegría,POST,598,11.7,P3
JGB9M,2,Enojo,POST,550,16.71,P3
JGB9M,2,Identidad,POST,558,4.57,P3
JGB9M,2,Sexo,POST,588,8.26,P3
JGB9M,2,Tristeza,POST,586,18.23,P3
JGB9M,2,Alegría,PRE,580,5.08,P3
JGB9M,2,Enojo,PRE,602,11.48,P3
JGB9M,2,Identidad,PRE,500,3.53,P3
JGB9M,2,Sexo,PRE,590,6.13,P3
JGB9M,2,Tristeza,PRE,584,7.43,P3
SPM8M,1,Identidad,PRE,244,-6.34,T5
JGB9M,2,Sexo,POST,242,-6.37,T5
NRG10M,1,Alegría,PRE,238,-6.4,T5
DSB10M,2,Identidad,POST,222,-6.57,T5
JDC10M,2,Identidad,POST,240,-6.57,T5
ALJ10M,1,Alegría,POST,244,-6.63,T5
MBO9M,2,Sexo,POST,226,-6.64,T5
MSR9M,1,Alegría,POST,220,-6.65,T5
JSR9M,2,Alegría,POST,234,-6.69,T5
JSR9M,2,Identidad,POST,230,-6.69,T5
JGB9M,2,Alegría,POST,238,-9.35,T6
JGB9M,2,Enojo,POST,234,-4.85,T6
JGB9M,2,Identidad,POST,246,-26.7,T6
JGB9M,2,Sexo,POST,242,-9.15,T6
JGB9M,2,Tristeza,POST,246,-10.02,T6
JGB9M,2,Alegría,PRE,238,-2.32,T6
JGB9M,2,Enojo,PRE,234,-3.61,T6
JGB9M,2,Identidad,PRE,258,-6.12,T6
JGB9M,2,Sexo,PRE,250,-7.96,T6
JGB9M,2,Tristeza,PRE,254,-8.18,T6
JOB10M,2,Alegría,POST,506,9.23,P3
JOB10M,2,Enojo,POST,572,11.53,P3
JOB10M,2,Identidad,POST,506,19,P3
JOB10M,2,Sexo,POST,552,15.65,P3
JOB10M,2,Tristeza,POST,472,6.68,P3
JOB10M,2,Alegría,PRE,540,22.41,P3
JOB10M,2,Enojo,PRE,574,6.91,P3
JOB10M,2,Identidad,PRE,540,19.98,P3
JOB10M,2,Sexo,PRE,482,14.74,P3
JOB10M,2,Tristeza,PRE,522,19.94,P3
DSB10M,2,Enojo,PRE,228,-6.71,T5
JGB9M,2,Tristeza,PRE,232,-6.74,T5
HMA8M,1,Alegría,POST,236,-6.83,T5
MZH9M,2,Alegría,PRE,226,-6.94,T5
CLB8M,1,Enojo,PRE,218,-7.11,T5
JDC10M,2,Alegría,PRE,226,-7.15,T5
ALJ10M,1,Tristeza,POST,244,-7.16,T5
DRL8M,1,Alegría,PRE,256,-7.16,T5
MBO9M,2,Tristeza,POST,224,-7.28,T5
SFN10M,2,Sexo,POST,242,-7.29,T5
JOB10M,2,Alegría,POST,226,-3.86,T6
JOB10M,2,Enojo,POST,248,0.13,T6
JOB10M,2,Identidad,POST,232,5.45,T6
JOB10M,2,Sexo,POST,250,-1.29,T6
JOB10M,2,Tristeza,POST,250,-2.23,T6
JOB10M,2,Alegría,PRE,244,-2.95,T6
JOB10M,2,Enojo,PRE,230,-4.11,T6
JOB10M,2,Identidad,PRE,230,-0.95,T6
JOB10M,2,Sexo,PRE,238,-4.65,T6
JOB10M,2,Tristeza,PRE,240,-2.35,T6
